method,route,module,action,roles,line,gate
POST,/followups/:id/complete,crm,create,"Accountant Admin Employee Manager",3531,roles
POST,/companies/:companyId/followups/sweep-overdue,crm,create,"Accountant Admin Manager",3567,roles
GET,/companies/:companyId/followups,crm,read,"Accountant Admin Employee Manager",3577,roles
GET,/companies/:companyId/followups/workload,crm,read,"Admin Manager",3632,roles
GET,/companies/:companyId/followups/coverage-gaps,crm,read,"Admin Manager",3641,roles
POST,/companies/:companyId/followups/bulk-reassign,crm,create,"Admin Manager",3651,roles
GET,/companies/:companyId/crm-dashboard,crm,read,"Accountant Admin Employee Manager",3674,roles
GET,/companies/:companyId/crm-performance,crm,read,"Accountant Admin Manager",3688,roles
GET,/companies/:companyId/opportunities,crm,read,"Accountant Admin Employee Manager",3704,roles
POST,/companies/:companyId/opportunities,crm,create,"Accountant Admin Employee Manager",3715,roles
PATCH,/opportunities/:id/stage,crm,write,"Accountant Admin Employee Manager",3741,roles
PUT,/opportunities/:id,crm,write,"Accountant Admin Employee Manager",3764,roles
DELETE,/opportunities/:id,crm,delete,"Accountant Admin Employee Manager",3796,roles
GET,/companies/:companyId/proposals,crm,read,"Accountant Admin Employee Manager",3815,roles
POST,/companies/:companyId/proposals,crm,create,"Accountant Admin Employee Manager",3835,roles
PATCH,/proposals/:id/status,crm,write,"Accountant Admin Employee Manager",3865,roles
PUT,/proposals/:id,crm,write,"Accountant Admin Employee Manager",3888,roles
DELETE,/proposals/:id,crm,delete,"Accountant Admin Employee Manager",3918,roles
GET,/companies/:companyId/campaigns,campaigns,read,"Accountant Admin Employee Manager",3939,roles
POST,/companies/:companyId/campaigns,campaigns,create,"Accountant Admin Employee Manager",3951,roles
PUT,/campaigns/:id,campaigns,write,"Accountant Admin Employee Manager",3989,roles
DELETE,/campaigns/:id,campaigns,delete,"Admin Manager",4023,roles
POST,/companies/:companyId/campaigns/:campaignId/generate-invoice,campaigns,create,"Accountant Admin Manager",4035,roles
POST,/companies/:companyId/campaigns/:campaignId/sync-invoice,campaigns,create,"Accountant Admin Manager",4059,roles
POST,/companies/:companyId/campaigns/:campaignId/generate-vendor-bills,campaigns,create,"Accountant Admin Employee Manager",4080,roles
GET,/campaigns/:id/deliverables,campaigns,read,"Accountant Admin Employee Manager",4107,roles
POST,/campaigns/:id/deliverables,campaigns,create,"Accountant Admin Employee Manager",4116,roles
PUT,/campaign-deliverables/:id,campaigns,write,"Accountant Admin Employee Manager",4150,roles
DELETE,/campaign-deliverables/:id,campaigns,delete,"Accountant Admin Employee Manager",4187,roles
GET,/campaigns/:id/assignments,campaigns,read,"Accountant Admin Employee Manager",4199,roles
POST,/campaigns/:id/assignments,campaigns,create,"Accountant Admin Employee Manager",4208,roles
PUT,/campaign-assignments/:id,campaigns,write,"Accountant Admin Employee Manager",4231,roles
DELETE,/campaign-assignments/:id,campaigns,delete,"Accountant Admin Employee Manager",4252,roles
GET,/campaigns/:id/expenses,campaigns,read,"Accountant Admin Employee Manager",4264,roles
POST,/campaigns/:id/expenses,campaigns,create,"Accountant Admin Employee Manager",4273,roles
PUT,/campaign-expenses/:id,campaigns,write,"Accountant Admin Employee Manager",4297,roles
DELETE,/campaign-expenses/:id,campaigns,delete,"Accountant Admin Employee Manager",4322,roles
GET,/companies/:companyId/vendor-requests,crm,read,"Accountant Admin Employee Manager",4336,roles
POST,/companies/:companyId/vendor-requests,crm,create,"Accountant Admin Employee Manager",4347,roles
PATCH,/vendor-requests/:id/status,crm,write,"Admin Manager",4373,roles
PUT,/vendor-requests/:id,crm,write,"Accountant Admin Employee Manager",4396,roles
DELETE,/vendor-requests/:id,crm,delete,"Accountant Admin Employee Manager",4431,roles
GET,/companies/:companyId/contributions,crm,read,"Accountant Admin Employee Manager",4452,roles
POST,/companies/:companyId/contributions,crm,create,"Accountant Admin Manager",4467,roles
DELETE,/contributions/:id,crm,delete,"Accountant Admin Manager",4505,roles
GET,/companies/:companyId/commission-rules,commissions,read,"Accountant Admin Employee Manager",4519,roles
POST,/companies/:companyId/commission-rules,commissions,create,"Accountant Admin Manager",4528,roles
PUT,/commission-rules/:id,commissions,write,"Accountant Admin Manager",4565,roles
DELETE,/commission-rules/:id,commissions,delete,"Accountant Admin Manager",4609,roles
POST,/companies/:companyId/commissions/recompute,commissions,create,"Accountant Admin Manager",4624,roles
GET,/companies/:companyId/commissions,commissions,read,"Accountant Admin Employee Manager",4634,roles
PATCH,/commissions/:id/status,commissions,write,"Accountant Admin Manager",4647,roles
POST,/commissions/:id/approve,commissions,approve,"Accountant Admin Manager",4671,roles
POST,/commissions/:id/pay,commissions,create,"Accountant Admin Manager",4688,roles
POST,/commissions/:id/void,commissions,void,"Accountant Admin Manager",4705,roles
POST,/opportunities/:id/commissions/recalculate,crm,create,"Accountant Admin Manager",4725,roles
GET,/companies/:companyId/clients,contacts,read,"Accountant Admin Manager",4738,roles
POST,/clients,contacts,create,"Accountant Admin Manager",4747,roles
PUT,/clients/:id,contacts,write,"Accountant Admin Manager",4774,roles
GET,/companies/:companyId/activity-events,settings,read,"Accountant Admin Manager",4816,roles
GET,/companies/:companyId/records/:entityType/:entityId/attachments,documents,read,"Accountant Admin Manager",4841,roles
POST,/companies/:companyId/records/:entityType/:entityId/attachments,documents,create,"Accountant Admin Manager",4855,roles
GET,/record-attachments/:id/content,documents,read,"Accountant Admin Manager",4907,roles
GET,/companies/:companyId/records/:entityType/:entityId/timeline,documents,read,"Accountant Admin Manager",4925,roles
DELETE,/record-attachments/:id,documents,delete,"Accountant Admin Manager",4943,roles
GET,/companies/:companyId/suppliers,contacts,read,"Accountant Admin Manager",4955,roles
POST,/companies/:companyId/suppliers,contacts,create,"Accountant Admin Manager",4964,roles
